                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  2.574,                 1.9692,                 1.9144,                 2.5349,                 2.5807,                 1.7372,                0.71137,                0.19694,                0.20018,                0.06989,                 2.6122,                 2.0124,                 1.9163,                 2.4811,                 2.5841,                 1.7449,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.5157,                 1.9323,                  1.868,                 2.5058,                 2.5533,                 1.6945,                0.70985,                 0.1906,                0.20286,                0.06915,                 2.6169,                 2.0173,                 1.9126,                 2.4932,                  2.571,                 1.7516,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.5367,                 1.9045,                 1.8664,                 2.5362,                 2.5032,                 1.7006,                0.70058,                 0.1893,                0.19642,                0.07021,                 2.6164,                 1.9836,                 1.8966,                 2.4972,                 2.5549,                 1.7312,             0.00082533,             0.00082533,             0.00082533
                     54,                  2.513,                  1.894,                 1.8437,                 2.4992,                 2.4873,                 1.6719,                0.70761,                0.18538,                0.19521,                0.06695,                 2.5775,                  2.027,                 1.8751,                 2.4606,                 2.6422,                 1.7236,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.5042,                 1.9062,                 1.8528,                 2.5126,                 2.5093,                 1.6848,                0.73755,                0.17885,                 0.1885,                0.06776,                 2.6278,                 1.9961,                 1.9002,                 2.4914,                 2.5609,                 1.7301,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.5088,                 1.9015,                 1.8233,                 2.5132,                 2.5011,                 1.6618,                0.68075,                0.19582,                0.16526,                0.05309,                 2.6436,                 2.3153,                 1.9074,                 2.4963,                 3.0624,                 1.7484,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.5141,                 1.9077,                 1.8783,                 2.5145,                   2.54,                 1.7271,                 0.6976,                 0.1893,                0.17585,                0.05623,                 2.6057,                  2.214,                 1.8838,                 2.4918,                  2.895,                 1.7417,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.5101,                 1.9166,                 1.8651,                 2.4961,                 2.5214,                 1.7036,                0.71576,                0.19843,                0.19221,                0.06581,                 2.5967,                  2.044,                 1.8632,                 2.4577,                 2.6757,                 1.7178,             0.00074282,             0.00074282,             0.00074282
                     59,                 2.5244,                  1.901,                 1.8452,                  2.492,                 2.4981,                  1.687,                0.72043,                0.19974,                 0.2027,                0.06897,                 2.5931,                 2.0637,                 1.8632,                 2.4403,                 2.6853,                 1.6933,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.5129,                 1.9046,                 1.8367,                 2.4804,                 2.5097,                 1.6647,                0.70471,                0.18277,                0.17976,                0.05851,                 2.6566,                 2.2413,                 1.9009,                 2.4988,                 2.9607,                 1.7531,             0.00070981,             0.00070981,             0.00070981
                     61,                  2.502,                 1.8919,                 1.8116,                 2.4772,                 2.5034,                 1.6496,                0.69946,                0.20104,                0.18857,                0.06236,                 2.6035,                  2.225,                 1.8756,                 2.4533,                 2.9999,                 1.7338,             0.00069331,             0.00069331,             0.00069331
                     62,                 2.5321,                 1.8915,                 1.8331,                 2.4721,                 2.4921,                 1.6534,                0.69748,                0.19713,                0.18217,                0.06345,                 2.5802,                 2.1506,                 1.8666,                 2.4569,                 2.8272,                 1.7144,              0.0006768,              0.0006768,              0.0006768
                     63,                 2.4738,                 1.8849,                  1.832,                 2.4793,                 2.4736,                 1.6711,                0.69632,                0.19974,                0.19531,                0.06883,                 2.5758,                 2.0677,                 1.8579,                 2.4448,                 2.6818,                 1.7143,              0.0006603,              0.0006603,              0.0006603
                     64,                 2.4746,                 1.8794,                 1.8361,                 2.4478,                 2.4529,                 1.6691,                0.70902,                0.21018,                0.21046,                 0.0727,                 2.5887,                  2.065,                 1.8612,                 2.4527,                 2.6497,                 1.7036,              0.0006438,              0.0006438,              0.0006438
                     65,                 2.4734,                 1.8748,                 1.8132,                 2.4664,                 2.4602,                 1.6642,                0.71754,                 0.2031,                0.21347,                0.07566,                 2.5772,                 1.9926,                 1.8592,                  2.475,                 2.5457,                 1.7188,             0.00062729,             0.00062729,             0.00062729
                     66,                 2.4708,                 1.8817,                 1.7797,                  2.443,                  2.439,                  1.611,                0.72618,                0.19191,                0.21165,                0.07164,                 2.5822,                  1.985,                  1.864,                 2.4712,                 2.5566,                   1.72,             0.00061079,             0.00061079,             0.00061079
                     67,                 2.4719,                 1.9217,                 1.8389,                 2.4332,                  2.512,                 1.6825,                0.71917,                0.20378,                0.20883,                0.07078,                 2.5894,                  2.027,                 1.8633,                 2.4788,                 2.6184,                 1.7206,             0.00059429,             0.00059429,             0.00059429
                     68,                 2.4346,                 1.8486,                 1.7753,                  2.452,                 2.4359,                 1.6132,                0.70179,                0.19843,                0.19845,                0.06633,                 2.6065,                 2.0963,                 1.8682,                 2.4739,                 2.8029,                 1.7306,             0.00057778,             0.00057778,             0.00057778
                     69,                 2.4886,                 1.8229,                 1.7875,                 2.4828,                 2.4142,                 1.6192,                0.70855,                0.20366,                0.21041,                0.07336,                 2.5918,                 1.9683,                  1.869,                 2.4743,                 2.5628,                 1.7067,             0.00056128,             0.00056128,             0.00056128
                     70,                  2.443,                 1.8411,                 1.7878,                  2.431,                 2.4475,                 1.6413,                0.72089,                0.20104,                0.21126,                0.07353,                 2.5785,                 1.9596,                  1.868,                 2.4868,                 2.5112,                 1.7171,             0.00054478,             0.00054478,             0.00054478
                     71,                 2.4518,                 1.8435,                 1.7792,                 2.4648,                 2.4195,                 1.6235,                0.70932,                0.19742,                0.20282,                0.07114,                 2.5875,                 1.9824,                 1.8645,                 2.5039,                 2.5298,                 1.7175,             0.00052827,             0.00052827,             0.00052827
                     72,                 2.4411,                 1.8559,                 1.7854,                 2.4227,                 2.4333,                  1.637,                0.72609,                0.19974,                0.21822,                 0.0762,                 2.5814,                 2.0083,                 1.8428,                 2.4762,                 2.5524,                 1.7076,             0.00051177,             0.00051177,             0.00051177
                     73,                 2.4643,                 1.8714,                 1.7948,                 2.4533,                 2.4441,                 1.6426,                0.20664,                0.21932,                0.21886,                0.08117,                  2.573,                 1.9724,                 1.8452,                 2.4714,                 2.5155,                 1.7128,             0.00049527,             0.00049527,             0.00049527
                     74,                 2.4271,                 1.8362,                 1.7577,                 2.4231,                 2.4244,                 1.6047,                0.21214,                0.20395,                0.21104,                0.08001,                 2.5895,                 1.9547,                 1.8621,                 2.4919,                 2.4998,                 1.7241,             0.00047876,             0.00047876,             0.00047876
